epoch, loss, acc, sen, spec, F1
1,0.801906406879425,0.5291666666666667,0.48770491803278687,0.5720338983050848,0.5129310344827587
2,0.7428131918112437,0.5583333333333333,0.5265306122448979,0.5914893617021276,0.548936170212766
3,0.7078862051169078,0.5895833333333333,0.5469387755102041,0.6340425531914894,0.5763440860215053
4,0.7198805133501689,0.575,0.5487804878048781,0.6025641025641025,0.569620253164557
5,0.7283864438533783,0.56875,0.5040983606557377,0.635593220338983,0.543046357615894
6,0.6547909080982208,0.6416666666666667,0.6040816326530613,0.6808510638297872,0.6324786324786325
7,0.6678364763657252,0.6270833333333333,0.5714285714285714,0.6851063829787234,0.6100217864923747
8,0.6532444794972737,0.6541666666666667,0.6188524590163934,0.690677966101695,0.6452991452991453
9,0.6600645403067271,0.64375,0.5975609756097561,0.6923076923076923,0.632258064516129
10,0.6599679867426554,0.63125,0.5894308943089431,0.6752136752136753,0.6209850107066381
11,0.6370783011118571,0.64375,0.6056910569105691,0.6837606837606838,0.6353944562899787
12,0.6118021061023077,0.6666666666666666,0.5860655737704918,0.75,0.6412556053811659
13,0.6436930080254872,0.6583333333333333,0.6219512195121951,0.6965811965811965,0.6510638297872341
14,0.6216462612152099,0.6708333333333333,0.5959183673469388,0.7489361702127659,0.6488888888888888
15,0.657570461432139,0.6479166666666667,0.6300813008130082,0.6666666666666666,0.6471816283924844
16,0.6066394170125325,0.6791666666666667,0.6516393442622951,0.7076271186440678,0.673728813559322
17,0.6254643907149633,0.6729166666666667,0.6475409836065574,0.6991525423728814,0.6680761099365751
18,0.6103206833203634,0.6666666666666666,0.6300813008130082,0.7051282051282052,0.6595744680851063
19,0.631494348247846,0.6541666666666667,0.631578947368421,0.6781115879828327,0.6527196652719666
20,0.6254218876361847,0.6479166666666667,0.6097560975609756,0.688034188034188,0.6396588486140725
21,0.6121949891249339,0.6854166666666667,0.6270491803278688,0.7457627118644068,0.6695842450765864
22,0.6084996243317922,0.6833333333333333,0.6463414634146342,0.7222222222222222,0.676595744680851
23,0.5803548316160838,0.6875,0.6544715447154471,0.7222222222222222,0.6822033898305084
24,0.6067227234443029,0.6770833333333334,0.6229508196721312,0.7330508474576272,0.6623093681917211
25,0.5958254118760427,0.6791666666666667,0.6285714285714286,0.7319148936170212,0.6666666666666666
26,0.5469311118125916,0.75,0.7206477732793523,0.7811158798283262,0.7478991596638656
27,0.5705663532018661,0.7333333333333333,0.6869918699186992,0.782051282051282,0.7253218884120172
28,0.5605786124865214,0.7125,0.6788617886178862,0.7478632478632479,0.7076271186440678
29,0.5616347243388494,0.70625,0.6626016260162602,0.7521367521367521,0.6980728051391863
30,0.5885517567396163,0.6854166666666667,0.6707317073170732,0.7008547008547008,0.6860706860706861
31,0.5976523041725159,0.6875,0.6653061224489796,0.7106382978723405,0.6848739495798319
32,0.5715993871291478,0.7020833333333333,0.6707317073170732,0.7350427350427351,0.6976744186046512
33,0.5842504620552063,0.7125,0.6926229508196722,0.7330508474576272,0.7100840336134454
34,0.6010873119036356,0.6895833333333333,0.6612244897959184,0.7191489361702128,0.6849894291754757
35,0.5631531486908595,0.7125,0.6788617886178862,0.7478632478632479,0.7076271186440678
36,0.5813091417153676,0.6958333333333333,0.6626016260162602,0.7307692307692307,0.690677966101695
37,0.5396864195664723,0.7083333333333334,0.7131147540983607,0.7033898305084746,0.7131147540983607
38,0.5549147069454193,0.7375,0.7044534412955465,0.7725321888412017,0.7341772151898734
39,0.5802471319834391,0.6979166666666666,0.6775510204081633,0.7191489361702128,0.6960167714884696
40,0.5145411034425099,0.7354166666666667,0.7090163934426229,0.7627118644067796,0.7315010570824524
41,0.5606553236643473,0.7083333333333334,0.6869918699186992,0.7307692307692307,0.7071129707112971
42,0.5523009975751241,0.7145833333333333,0.6963562753036437,0.7339055793991416,0.7151767151767152
43,0.5738644242286682,0.69375,0.6408163265306123,0.7489361702127659,0.6811279826464208
44,0.5394332955280939,0.7333333333333333,0.7377049180327869,0.7288135593220338,0.7377049180327869
45,0.5522235115369161,0.7270833333333333,0.710204081632653,0.7446808510638298,0.7265135699373695
46,0.5433115263779958,0.7333333333333333,0.6991869918699187,0.7692307692307693,0.7288135593220338
47,0.5457279821236928,0.7104166666666667,0.6967213114754098,0.7245762711864406,0.7098121085594989
48,0.5362783173720042,0.7229166666666667,0.7165991902834008,0.7296137339055794,0.7268993839835729
49,0.5381096959114074,0.7520833333333333,0.7213114754098361,0.7838983050847458,0.7473460721868365
50,0.5538816740115483,0.7208333333333333,0.6842105263157895,0.759656652360515,0.7161016949152542
51,0.527838175992171,0.75,0.7276422764227642,0.7735042735042735,0.7489539748953975
52,0.512291963895162,0.7375,0.6951219512195121,0.782051282051282,0.7307692307692307
53,0.518680939078331,0.7375,0.7224489795918367,0.7531914893617021,0.7375
54,0.5241351415713628,0.75,0.7428571428571429,0.7574468085106383,0.7520661157024794
55,0.5228055228789648,0.7625,0.7663934426229508,0.7584745762711864,0.7663934426229508
56,0.5358809302250545,0.7458333333333333,0.7428571428571429,0.7489361702127659,0.7489711934156379
57,0.4879475191235542,0.7708333333333334,0.763265306122449,0.7787234042553192,0.7727272727272727
58,0.5257120023171107,0.76875,0.7611336032388664,0.776824034334764,0.7720739219712526
59,0.5112919012705485,0.7479166666666667,0.7357723577235772,0.7606837606837606,0.7494824016563147
60,0.5302570929129918,0.7208333333333333,0.7154471544715447,0.7264957264957265,0.7242798353909465
61,0.5111651718616486,0.75,0.7346938775510204,0.7659574468085106,0.75
62,0.501082377632459,0.7645833333333333,0.763265306122449,0.7659574468085106,0.7679671457905544
63,0.472939562300841,0.7770833333333333,0.7673469387755102,0.7872340425531915,0.7784679089026915
64,0.5236862570047378,0.75625,0.7398373983739838,0.7735042735042735,0.7567567567567568
65,0.5207943509022395,0.74375,0.7276422764227642,0.7606837606837606,0.7442827442827443
